timeslot,discomcode,revisionno,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL,Total_EXPP,OpenAccess,InterDiscomTransfer,Losses,idtexbil,Total
1,BRPL,74DSBRPL2024/09/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.1100,0.0000,13.9675,0.0000,0.0000,0.0000,0.0000,0.0000,25.3900,4.6400,67.1900,0.0000,-1.4008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,274.0900,0.0000,0.0000,6.4900,30.8900,50.5200,71.3600,32.3200,14.5300,6.0700,8.1000,0.0000,9.6800,24.1400,0.0000,0.0000,0.0000,0.0000,0.0000,45.3400,23.8300,4.6300,0.0000,28.6500,0.0000,0.0000,0.0000,22.6800,4.3400,0.0000,0.0000,0.0000,19.0200,14.5300,18.5100,17.3500,8.5000,16.0500,21.4100,6.7700,61.2500,3.2700,2.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.6600,55.6700,0.0000,0.0000,0.0000,0.0000,0.0000,11.4480,28.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1221.1247,453.43,0.00,15.0815,0.00,1659.4732
2,BRPL,74DSBRPL2024/09/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.1100,0.0000,13.9675,0.0000,0.0000,0.0000,0.0000,0.0000,25.3900,4.6400,67.1900,0.0000,-1.4008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,274.0900,0.0000,0.0000,3.8700,30.8900,50.5200,71.3600,32.3200,14.5300,5.0800,8.1000,0.0000,9.6800,22.2800,0.0000,0.0000,0.0000,0.0000,0.0000,45.3400,23.8300,4.6300,0.0000,28.6500,0.0000,0.0000,0.0000,22.6800,4.3400,0.0000,0.0000,0.0000,19.0200,14.5300,18.5100,17.3500,8.5000,16.0500,21.4100,6.7700,61.2500,3.2700,2.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.6600,56.6700,0.0000,0.0000,0.0000,0.0000,0.0000,11.4480,28.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1216.8547,432.43,0.00,15.2220,0.00,1634.0627
3,BRPL,74DSBRPL2024/09/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.1100,0.0000,13.9675,0.0000,0.0000,0.0000,0.0000,0.0000,25.3900,4.6400,67.1900,0.0000,-1.4008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,274.0900,0.0000,0.0000,3.8700,17.0500,28.0900,39.7100,32.3200,14.5300,5.0800,8.1000,0.0000,9.6800,22.2800,0.0000,0.0000,0.0000,0.0000,0.0000,45.3400,23.8300,4.6300,0.0000,28.6500,0.0000,0.0000,0.0000,22.6800,4.4000,0.0000,0.0000,0.0000,19.0200,14.5300,12.3400,17.3500,8.5000,16.1300,21.4100,5.9600,61.2500,3.2700,2.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.3400,57.3300,0.0000,0.0000,0.0000,0.0000,0.0000,11.4480,28.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1143.6347,479.43,0.00,14.2122,0.00,1608.8525
4,BRPL,74DSBRPL2024/09/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.1100,0.0000,13.9675,0.0000,0.0000,0.0000,0.0000,0.0000,25.3900,4.6400,67.1900,0.0000,-1.4008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,274.0900,0.0000,0.0000,3.8700,17.0500,28.0900,39.7100,32.3200,14.5300,5.0800,8.1000,0.0000,9.6800,22.2800,0.0000,0.0000,0.0000,0.0000,0.0000,45.3400,23.8300,4.6300,0.0000,28.6500,0.0000,0.0000,0.0000,22.6800,4.4000,0.0000,0.0000,0.0000,21.3700,14.5300,12.3400,17.3500,8.5000,16.1300,21.4100,5.9600,61.2500,3.2700,2.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.0000,57.3300,0.0000,0.0000,0.0000,0.0000,0.0000,11.4480,28.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1146.2447,447.43,0.00,14.5029,0.00,1579.1718
5,BRPL,74DSBRPL2024/09/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.1100,0.0000,13.9675,0.0000,0.0000,0.0000,0.0000,0.0000,25.3900,4.6400,67.1900,0.0000,-1.4008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,274.0900,0.0000,0.0000,3.8700,17.0500,28.0900,39.7100,32.3200,14.5300,5.0800,8.1000,0.0000,9.6800,22.2800,0.0000,0.0000,0.0000,0.0000,0.0000,45.3400,23.8300,4.6300,0.0000,28.6500,0.0000,0.0000,0.0000,22.6800,4.4000,0.0000,0.0000,0.0000,21.3700,14.5300,12.3400,17.3500,8.5000,16.1300,21.4100,6.7700,61.2500,5.5300,2.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.6600,57.3300,0.0000,0.0000,0.0000,0.0000,0.0000,11.4480,28.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1143.9747,423.43,0.00,14.6854,0.00,1552.7193
6,BRPL,74DSBRPL2024/09/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.1100,0.0000,13.9675,0.0000,0.0000,0.0000,0.0000,0.0000,25.3900,4.6400,67.1900,0.0000,-1.4008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,274.0900,0.0000,0.0000,3.8700,17.0500,28.0900,39.7100,32.3200,14.5300,5.0800,8.1000,0.0000,9.6800,22.2800,0.0000,0.0000,0.0000,0.0000,0.0000,45.3400,23.8300,4.6300,0.0000,28.6500,0.0000,0.0000,0.0000,22.6800,4.4000,0.0000,0.0000,0.0000,21.3700,14.5300,12.3400,17.3500,8.5000,16.1300,21.4100,6.7700,61.2500,5.5300,2.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.3400,56.6700,0.0000,0.0000,0.0000,0.0000,0.0000,11.4480,28.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1143.1947,399.43,0.00,14.8805,0.00,1527.7442
7,BRPL,74DSBRPL2024/09/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.1100,0.0000,13.9675,0.0000,0.0000,0.0000,0.0000,0.0000,25.3900,4.6400,62.4100,0.0000,-1.4008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,274.0900,0.0000,0.0000,3.8700,17.0500,28.0900,39.7100,32.3200,14.5300,5.0800,8.1000,0.0000,9.6800,22.2800,0.0000,0.0000,0.0000,0.0000,0.0000,45.3400,23.8300,4.6300,0.0000,28.6500,0.0000,0.0000,0.0000,22.6800,4.4000,0.0000,0.0000,0.0000,19.0200,14.5300,12.3400,17.3500,8.5000,16.1300,21.4100,6.7700,57.3500,5.5300,2.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,56.6700,0.0000,0.0000,0.0000,0.0000,0.0000,11.4480,28.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1130.6247,349.43,0.00,15.1949,0.00,1464.8598
8,BRPL,74DSBRPL2024/09/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.1100,0.0000,13.9675,0.0000,0.0000,0.0000,0.0000,0.0000,25.3900,4.6400,62.4100,0.0000,-1.4008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,274.0900,0.0000,0.0000,3.8700,17.0500,28.0900,39.7100,32.3200,14.5300,5.0800,8.1000,0.0000,9.6800,22.2800,0.0000,0.0000,0.0000,0.0000,0.0000,45.3400,23.8300,2.3000,0.0000,28.6500,0.0000,0.0000,0.0000,22.6800,4.4000,0.0000,0.0000,0.0000,19.0200,14.5300,12.3400,11.1200,8.5000,16.1300,21.4100,6.7700,57.3500,5.5300,2.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,65.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.3400,56.6700,0.0000,0.0000,0.0000,0.0000,0.0000,11.4480,28.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1121.6047,338.43,0.00,15.2115,0.00,1444.8232
9,BRPL,74DSBRPL2024/09/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.1100,0.0000,13.9675,0.0000,0.0000,0.0000,0.0000,0.0000,25.3900,4.6400,62.4100,0.0000,-1.4008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,274.0900,0.0000,0.0000,4.0800,17.0500,28.0900,39.7100,32.3200,14.5300,5.0800,8.1000,0.0000,9.6800,22.2800,0.0000,0.0000,0.0000,0.0000,0.0000,45.3400,23.8300,2.3000,0.0000,28.6500,0.0000,0.0000,0.0000,22.6800,4.4000,0.0000,0.0000,0.0000,19.0200,14.5300,12.3400,10.5400,8.5000,15.6200,21.4100,6.7700,57.3500,5.5300,2.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,71.6700,0.0000,0.0000,0.0000,0.0000,0.0000,11.4480,28.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1146.7847,393.43,0.00,14.9610,0.00,1525.2537
10,BRPL,74DSBRPL2024/09/15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,58.1100,0.0000,13.9675,0.0000,0.0000,0.0000,0.0000,0.0000,25.3900,4.6400,62.4100,0.0000,-1.4008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,274.0900,0.0000,0.0000,4.0800,17.0500,28.0900,39.7100,32.3200,14.5300,5.0800,8.1000,0.0000,9.6800,22.2800,0.0000,0.0000,0.0000,0.0000,0.0000,45.3400,23.8300,0.0000,0.0000,28.6500,0.0000,0.0000,0.0000,22.6800,4.4000,0.0000,0.0000,0.0000,19.0200,14.5300,12.3400,10.5400,8.5000,15.6200,21.4100,6.7700,57.3500,5.5300,2.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,71.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.4480,28.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1144.2147,379.43,0.00,15.0570,0.00,1508.5877
